lang	case_id	equiv_class	smoke	expected
gdscript	cm_p1_comment_before_stmt__t3	p1_comment_before_stmt	no	0
python_3	cm_p1_comment_before_stmt__t4	p1_comment_before_stmt	no	100
javascript	cm_p1_comment_before_stmt__t4	p1_comment_before_stmt	no	100
erlang	cm_p1_comment_before_stmt__t4	p1_comment_before_stmt	no	100
typescript	cm_p1_comment_before_stmt__t4	p1_comment_before_stmt	no	100
ruby	cm_p1_comment_before_stmt__t4	p1_comment_before_stmt	no	100
lua	cm_p1_comment_before_stmt__t4	p1_comment_before_stmt	no	100
php	cm_p1_comment_before_stmt__t4	p1_comment_before_stmt	no	100
dart	cm_p1_comment_before_stmt__t4	p1_comment_before_stmt	no	100
rust	cm_p1_comment_before_stmt__t4	p1_comment_before_stmt	no	100
go	cm_p1_comment_before_stmt__t4	p1_comment_before_stmt	no	100
swift	cm_p1_comment_before_stmt__t4	p1_comment_before_stmt	no	100
java	cm_p1_comment_before_stmt__t4	p1_comment_before_stmt	no	100
kotlin	cm_p1_comment_before_stmt__t4	p1_comment_before_stmt	no	100
csharp	cm_p1_comment_before_stmt__t4	p1_comment_before_stmt	no	100
c	cm_p1_comment_before_stmt__t4	p1_comment_before_stmt	no	100
cpp	cm_p1_comment_before_stmt__t4	p1_comment_before_stmt	no	100
gdscript	cm_p1_comment_before_stmt__t4	p1_comment_before_stmt	no	100
python_3	cm_p1_comment_before_stmt__t5	p1_comment_before_stmt	no	50
javascript	cm_p1_comment_before_stmt__t5	p1_comment_before_stmt	no	50
erlang	cm_p1_comment_before_stmt__t5	p1_comment_before_stmt	no	50
typescript	cm_p1_comment_before_stmt__t5	p1_comment_before_stmt	no	50
ruby	cm_p1_comment_before_stmt__t5	p1_comment_before_stmt	no	50
lua	cm_p1_comment_before_stmt__t5	p1_comment_before_stmt	no	50
php	cm_p1_comment_before_stmt__t5	p1_comment_before_stmt	no	50
dart	cm_p1_comment_before_stmt__t5	p1_comment_before_stmt	no	50
rust	cm_p1_comment_before_stmt__t5	p1_comment_before_stmt	no	50
go	cm_p1_comment_before_stmt__t5	p1_comment_before_stmt	no	50
swift	cm_p1_comment_before_stmt__t5	p1_comment_before_stmt	no	50
java	cm_p1_comment_before_stmt__t5	p1_comment_before_stmt	no	50
kotlin	cm_p1_comment_before_stmt__t5	p1_comment_before_stmt	no	50
csharp	cm_p1_comment_before_stmt__t5	p1_comment_before_stmt	no	50
c	cm_p1_comment_before_stmt__t5	p1_comment_before_stmt	no	50
cpp	cm_p1_comment_before_stmt__t5	p1_comment_before_stmt	no	50
gdscript	cm_p1_comment_before_stmt__t5	p1_comment_before_stmt	no	50
python_3	cm_p1_comment_before_stmt__t6	p1_comment_before_stmt	no	-7
javascript	cm_p1_comment_before_stmt__t6	p1_comment_before_stmt	no	-7
erlang	cm_p1_comment_before_stmt__t6	p1_comment_before_stmt	no	-7
typescript	cm_p1_comment_before_stmt__t6	p1_comment_before_stmt	no	-7
ruby	cm_p1_comment_before_stmt__t6	p1_comment_before_stmt	no	-7
lua	cm_p1_comment_before_stmt__t6	p1_comment_before_stmt	no	-7
php	cm_p1_comment_before_stmt__t6	p1_comment_before_stmt	no	-7
dart	cm_p1_comment_before_stmt__t6	p1_comment_before_stmt	no	-7
rust	cm_p1_comment_before_stmt__t6	p1_comment_before_stmt	no	-7
go	cm_p1_comment_before_stmt__t6	p1_comment_before_stmt	no	-7
swift	cm_p1_comment_before_stmt__t6	p1_comment_before_stmt	no	-7
java	cm_p1_comment_before_stmt__t6	p1_comment_before_stmt	no	-7
kotlin	cm_p1_comment_before_stmt__t6	p1_comment_before_stmt	no	-7
csharp	cm_p1_comment_before_stmt__t6	p1_comment_before_stmt	no	-7
c	cm_p1_comment_before_stmt__t6	p1_comment_before_stmt	no	-7
cpp	cm_p1_comment_before_stmt__t6	p1_comment_before_stmt	no	-7
gdscript	cm_p1_comment_before_stmt__t6	p1_comment_before_stmt	no	-7
python_3	cm_p1_comment_before_stmt__t7	p1_comment_before_stmt	no	1
javascript	cm_p1_comment_before_stmt__t7	p1_comment_before_stmt	no	1
erlang	cm_p1_comment_before_stmt__t7	p1_comment_before_stmt	no	1
typescript	cm_p1_comment_before_stmt__t7	p1_comment_before_stmt	no	1
ruby	cm_p1_comment_before_stmt__t7	p1_comment_before_stmt	no	1
lua	cm_p1_comment_before_stmt__t7	p1_comment_before_stmt	no	1
php	cm_p1_comment_before_stmt__t7	p1_comment_before_stmt	no	1
dart	cm_p1_comment_before_stmt__t7	p1_comment_before_stmt	no	1
rust	cm_p1_comment_before_stmt__t7	p1_comment_before_stmt	no	1
go	cm_p1_comment_before_stmt__t7	p1_comment_before_stmt	no	1
swift	cm_p1_comment_before_stmt__t7	p1_comment_before_stmt	no	1
java	cm_p1_comment_before_stmt__t7	p1_comment_before_stmt	no	1
kotlin	cm_p1_comment_before_stmt__t7	p1_comment_before_stmt	no	1
csharp	cm_p1_comment_before_stmt__t7	p1_comment_before_stmt	no	1
c	cm_p1_comment_before_stmt__t7	p1_comment_before_stmt	no	1
cpp	cm_p1_comment_before_stmt__t7	p1_comment_before_stmt	no	1
gdscript	cm_p1_comment_before_stmt__t7	p1_comment_before_stmt	no	1
python_3	cm_p1_comment_before_stmt__t8	p1_comment_before_stmt	no	99
javascript	cm_p1_comment_before_stmt__t8	p1_comment_before_stmt	no	99
erlang	cm_p1_comment_before_stmt__t8	p1_comment_before_stmt	no	99
typescript	cm_p1_comment_before_stmt__t8	p1_comment_before_stmt	no	99
ruby	cm_p1_comment_before_stmt__t8	p1_comment_before_stmt	no	99
lua	cm_p1_comment_before_stmt__t8	p1_comment_before_stmt	no	99
php	cm_p1_comment_before_stmt__t8	p1_comment_before_stmt	no	99
dart	cm_p1_comment_before_stmt__t8	p1_comment_before_stmt	no	99
rust	cm_p1_comment_before_stmt__t8	p1_comment_before_stmt	no	99
go	cm_p1_comment_before_stmt__t8	p1_comment_before_stmt	no	99
swift	cm_p1_comment_before_stmt__t8	p1_comment_before_stmt	no	99
java	cm_p1_comment_before_stmt__t8	p1_comment_before_stmt	no	99
kotlin	cm_p1_comment_before_stmt__t8	p1_comment_before_stmt	no	99
csharp	cm_p1_comment_before_stmt__t8	p1_comment_before_stmt	no	99
c	cm_p1_comment_before_stmt__t8	p1_comment_before_stmt	no	99
cpp	cm_p1_comment_before_stmt__t8	p1_comment_before_stmt	no	99
gdscript	cm_p1_comment_before_stmt__t8	p1_comment_before_stmt	no	99
python_3	cm_p1_comment_before_stmt__t9	p1_comment_before_stmt	no	-1
javascript	cm_p1_comment_before_stmt__t9	p1_comment_before_stmt	no	-1
erlang	cm_p1_comment_before_stmt__t9	p1_comment_before_stmt	no	-1
typescript	cm_p1_comment_before_stmt__t9	p1_comment_before_stmt	no	-1
ruby	cm_p1_comment_before_stmt__t9	p1_comment_before_stmt	no	-1
lua	cm_p1_comment_before_stmt__t9	p1_comment_before_stmt	no	-1
php	cm_p1_comment_before_stmt__t9	p1_comment_before_stmt	no	-1
dart	cm_p1_comment_before_stmt__t9	p1_comment_before_stmt	no	-1
rust	cm_p1_comment_before_stmt__t9	p1_comment_before_stmt	no	-1
go	cm_p1_comment_before_stmt__t9	p1_comment_before_stmt	no	-1
swift	cm_p1_comment_before_stmt__t9	p1_comment_before_stmt	no	-1
java	cm_p1_comment_before_stmt__t9	p1_comment_before_stmt	no	-1
kotlin	cm_p1_comment_before_stmt__t9	p1_comment_before_stmt	no	-1
csharp	cm_p1_comment_before_stmt__t9	p1_comment_before_stmt	no	-1
c	cm_p1_comment_before_stmt__t9	p1_comment_before_stmt	no	-1
cpp	cm_p1_comment_before_stmt__t9	p1_comment_before_stmt	no	-1
gdscript	cm_p1_comment_before_stmt__t9	p1_comment_before_stmt	no	-1
python_3	cm_p2_comment_after_stmt__t0	p2_comment_after_stmt	yes	1
javascript	cm_p2_comment_after_stmt__t0	p2_comment_after_stmt	yes	1
erlang	cm_p2_comment_after_stmt__t0	p2_comment_after_stmt	yes	1
typescript	cm_p2_comment_after_stmt__t0	p2_comment_after_stmt	yes	1
ruby	cm_p2_comment_after_stmt__t0	p2_comment_after_stmt	yes	1
lua	cm_p2_comment_after_stmt__t0	p2_comment_after_stmt	yes	1
php	cm_p2_comment_after_stmt__t0	p2_comment_after_stmt	yes	1
dart	cm_p2_comment_after_stmt__t0	p2_comment_after_stmt	yes	1
rust	cm_p2_comment_after_stmt__t0	p2_comment_after_stmt	yes	1
go	cm_p2_comment_after_stmt__t0	p2_comment_after_stmt	yes	1
swift	cm_p2_comment_after_stmt__t0	p2_comment_after_stmt	yes	1
java	cm_p2_comment_after_stmt__t0	p2_comment_after_stmt	yes	1
kotlin	cm_p2_comment_after_stmt__t0	p2_comment_after_stmt	yes	1
csharp	cm_p2_comment_after_stmt__t0	p2_comment_after_stmt	yes	1
c	cm_p2_comment_after_stmt__t0	p2_comment_after_stmt	yes	1
cpp	cm_p2_comment_after_stmt__t0	p2_comment_after_stmt	yes	1
gdscript	cm_p2_comment_after_stmt__t0	p2_comment_after_stmt	yes	1
python_3	cm_p2_comment_after_stmt__t1	p2_comment_after_stmt	no	5
javascript	cm_p2_comment_after_stmt__t1	p2_comment_after_stmt	no	5
erlang	cm_p2_comment_after_stmt__t1	p2_comment_after_stmt	no	5
typescript	cm_p2_comment_after_stmt__t1	p2_comment_after_stmt	no	5
ruby	cm_p2_comment_after_stmt__t1	p2_comment_after_stmt	no	5
lua	cm_p2_comment_after_stmt__t1	p2_comment_after_stmt	no	5
php	cm_p2_comment_after_stmt__t1	p2_comment_after_stmt	no	5
dart	cm_p2_comment_after_stmt__t1	p2_comment_after_stmt	no	5
rust	cm_p2_comment_after_stmt__t1	p2_comment_after_stmt	no	5
go	cm_p2_comment_after_stmt__t1	p2_comment_after_stmt	no	5
swift	cm_p2_comment_after_stmt__t1	p2_comment_after_stmt	no	5
java	cm_p2_comment_after_stmt__t1	p2_comment_after_stmt	no	5
kotlin	cm_p2_comment_after_stmt__t1	p2_comment_after_stmt	no	5
csharp	cm_p2_comment_after_stmt__t1	p2_comment_after_stmt	no	5
c	cm_p2_comment_after_stmt__t1	p2_comment_after_stmt	no	5
cpp	cm_p2_comment_after_stmt__t1	p2_comment_after_stmt	no	5
gdscript	cm_p2_comment_after_stmt__t1	p2_comment_after_stmt	no	5
python_3	cm_p2_comment_after_stmt__t2	p2_comment_after_stmt	no	-3
javascript	cm_p2_comment_after_stmt__t2	p2_comment_after_stmt	no	-3
erlang	cm_p2_comment_after_stmt__t2	p2_comment_after_stmt	no	-3
typescript	cm_p2_comment_after_stmt__t2	p2_comment_after_stmt	no	-3
ruby	cm_p2_comment_after_stmt__t2	p2_comment_after_stmt	no	-3
lua	cm_p2_comment_after_stmt__t2	p2_comment_after_stmt	no	-3
php	cm_p2_comment_after_stmt__t2	p2_comment_after_stmt	no	-3
dart	cm_p2_comment_after_stmt__t2	p2_comment_after_stmt	no	-3
rust	cm_p2_comment_after_stmt__t2	p2_comment_after_stmt	no	-3
go	cm_p2_comment_after_stmt__t2	p2_comment_after_stmt	no	-3
swift	cm_p2_comment_after_stmt__t2	p2_comment_after_stmt	no	-3
java	cm_p2_comment_after_stmt__t2	p2_comment_after_stmt	no	-3
kotlin	cm_p2_comment_after_stmt__t2	p2_comment_after_stmt	no	-3
csharp	cm_p2_comment_after_stmt__t2	p2_comment_after_stmt	no	-3
c	cm_p2_comment_after_stmt__t2	p2_comment_after_stmt	no	-3
cpp	cm_p2_comment_after_stmt__t2	p2_comment_after_stmt	no	-3
gdscript	cm_p2_comment_after_stmt__t2	p2_comment_after_stmt	no	-3
python_3	cm_p2_comment_after_stmt__t3	p2_comment_after_stmt	no	0
javascript	cm_p2_comment_after_stmt__t3	p2_comment_after_stmt	no	0
erlang	cm_p2_comment_after_stmt__t3	p2_comment_after_stmt	no	0
typescript	cm_p2_comment_after_stmt__t3	p2_comment_after_stmt	no	0
ruby	cm_p2_comment_after_stmt__t3	p2_comment_after_stmt	no	0
lua	cm_p2_comment_after_stmt__t3	p2_comment_after_stmt	no	0
php	cm_p2_comment_after_stmt__t3	p2_comment_after_stmt	no	0
dart	cm_p2_comment_after_stmt__t3	p2_comment_after_stmt	no	0
rust	cm_p2_comment_after_stmt__t3	p2_comment_after_stmt	no	0
go	cm_p2_comment_after_stmt__t3	p2_comment_after_stmt	no	0
swift	cm_p2_comment_after_stmt__t3	p2_comment_after_stmt	no	0
java	cm_p2_comment_after_stmt__t3	p2_comment_after_stmt	no	0
kotlin	cm_p2_comment_after_stmt__t3	p2_comment_after_stmt	no	0
csharp	cm_p2_comment_after_stmt__t3	p2_comment_after_stmt	no	0
c	cm_p2_comment_after_stmt__t3	p2_comment_after_stmt	no	0
cpp	cm_p2_comment_after_stmt__t3	p2_comment_after_stmt	no	0
gdscript	cm_p2_comment_after_stmt__t3	p2_comment_after_stmt	no	0
python_3	cm_p2_comment_after_stmt__t4	p2_comment_after_stmt	no	100
javascript	cm_p2_comment_after_stmt__t4	p2_comment_after_stmt	no	100
erlang	cm_p2_comment_after_stmt__t4	p2_comment_after_stmt	no	100
typescript	cm_p2_comment_after_stmt__t4	p2_comment_after_stmt	no	100
ruby	cm_p2_comment_after_stmt__t4	p2_comment_after_stmt	no	100
lua	cm_p2_comment_after_stmt__t4	p2_comment_after_stmt	no	100
php	cm_p2_comment_after_stmt__t4	p2_comment_after_stmt	no	100
dart	cm_p2_comment_after_stmt__t4	p2_comment_after_stmt	no	100
rust	cm_p2_comment_after_stmt__t4	p2_comment_after_stmt	no	100
go	cm_p2_comment_after_stmt__t4	p2_comment_after_stmt	no	100
swift	cm_p2_comment_after_stmt__t4	p2_comment_after_stmt	no	100
java	cm_p2_comment_after_stmt__t4	p2_comment_after_stmt	no	100
kotlin	cm_p2_comment_after_stmt__t4	p2_comment_after_stmt	no	100
csharp	cm_p2_comment_after_stmt__t4	p2_comment_after_stmt	no	100
c	cm_p2_comment_after_stmt__t4	p2_comment_after_stmt	no	100
cpp	cm_p2_comment_after_stmt__t4	p2_comment_after_stmt	no	100
gdscript	cm_p2_comment_after_stmt__t4	p2_comment_after_stmt	no	100
python_3	cm_p2_comment_after_stmt__t5	p2_comment_after_stmt	no	50
javascript	cm_p2_comment_after_stmt__t5	p2_comment_after_stmt	no	50
erlang	cm_p2_comment_after_stmt__t5	p2_comment_after_stmt	no	50
typescript	cm_p2_comment_after_stmt__t5	p2_comment_after_stmt	no	50
ruby	cm_p2_comment_after_stmt__t5	p2_comment_after_stmt	no	50
lua	cm_p2_comment_after_stmt__t5	p2_comment_after_stmt	no	50
php	cm_p2_comment_after_stmt__t5	p2_comment_after_stmt	no	50
dart	cm_p2_comment_after_stmt__t5	p2_comment_after_stmt	no	50
rust	cm_p2_comment_after_stmt__t5	p2_comment_after_stmt	no	50
go	cm_p2_comment_after_stmt__t5	p2_comment_after_stmt	no	50
swift	cm_p2_comment_after_stmt__t5	p2_comment_after_stmt	no	50
java	cm_p2_comment_after_stmt__t5	p2_comment_after_stmt	no	50
kotlin	cm_p2_comment_after_stmt__t5	p2_comment_after_stmt	no	50
csharp	cm_p2_comment_after_stmt__t5	p2_comment_after_stmt	no	50
c	cm_p2_comment_after_stmt__t5	p2_comment_after_stmt	no	50
cpp	cm_p2_comment_after_stmt__t5	p2_comment_after_stmt	no	50
gdscript	cm_p2_comment_after_stmt__t5	p2_comment_after_stmt	no	50
python_3	cm_p2_comment_after_stmt__t6	p2_comment_after_stmt	no	-7
javascript	cm_p2_comment_after_stmt__t6	p2_comment_after_stmt	no	-7
erlang	cm_p2_comment_after_stmt__t6	p2_comment_after_stmt	no	-7
typescript	cm_p2_comment_after_stmt__t6	p2_comment_after_stmt	no	-7
ruby	cm_p2_comment_after_stmt__t6	p2_comment_after_stmt	no	-7
lua	cm_p2_comment_after_stmt__t6	p2_comment_after_stmt	no	-7
php	cm_p2_comment_after_stmt__t6	p2_comment_after_stmt	no	-7
dart	cm_p2_comment_after_stmt__t6	p2_comment_after_stmt	no	-7
rust	cm_p2_comment_after_stmt__t6	p2_comment_after_stmt	no	-7
go	cm_p2_comment_after_stmt__t6	p2_comment_after_stmt	no	-7
swift	cm_p2_comment_after_stmt__t6	p2_comment_after_stmt	no	-7
java	cm_p2_comment_after_stmt__t6	p2_comment_after_stmt	no	-7
kotlin	cm_p2_comment_after_stmt__t6	p2_comment_after_stmt	no	-7
csharp	cm_p2_comment_after_stmt__t6	p2_comment_after_stmt	no	-7
c	cm_p2_comment_after_stmt__t6	p2_comment_after_stmt	no	-7
cpp	cm_p2_comment_after_stmt__t6	p2_comment_after_stmt	no	-7
gdscript	cm_p2_comment_after_stmt__t6	p2_comment_after_stmt	no	-7
python_3	cm_p2_comment_after_stmt__t7	p2_comment_after_stmt	no	1
javascript	cm_p2_comment_after_stmt__t7	p2_comment_after_stmt	no	1
erlang	cm_p2_comment_after_stmt__t7	p2_comment_after_stmt	no	1
typescript	cm_p2_comment_after_stmt__t7	p2_comment_after_stmt	no	1
ruby	cm_p2_comment_after_stmt__t7	p2_comment_after_stmt	no	1
lua	cm_p2_comment_after_stmt__t7	p2_comment_after_stmt	no	1
php	cm_p2_comment_after_stmt__t7	p2_comment_after_stmt	no	1
dart	cm_p2_comment_after_stmt__t7	p2_comment_after_stmt	no	1
rust	cm_p2_comment_after_stmt__t7	p2_comment_after_stmt	no	1
go	cm_p2_comment_after_stmt__t7	p2_comment_after_stmt	no	1
swift	cm_p2_comment_after_stmt__t7	p2_comment_after_stmt	no	1
java	cm_p2_comment_after_stmt__t7	p2_comment_after_stmt	no	1
kotlin	cm_p2_comment_after_stmt__t7	p2_comment_after_stmt	no	1
csharp	cm_p2_comment_after_stmt__t7	p2_comment_after_stmt	no	1
c	cm_p2_comment_after_stmt__t7	p2_comment_after_stmt	no	1
cpp	cm_p2_comment_after_stmt__t7	p2_comment_after_stmt	no	1
gdscript	cm_p2_comment_after_stmt__t7	p2_comment_after_stmt	no	1
python_3	cm_p2_comment_after_stmt__t8	p2_comment_after_stmt	no	99
javascript	cm_p2_comment_after_stmt__t8	p2_comment_after_stmt	no	99
erlang	cm_p2_comment_after_stmt__t8	p2_comment_after_stmt	no	99
typescript	cm_p2_comment_after_stmt__t8	p2_comment_after_stmt	no	99
ruby	cm_p2_comment_after_stmt__t8	p2_comment_after_stmt	no	99
lua	cm_p2_comment_after_stmt__t8	p2_comment_after_stmt	no	99
php	cm_p2_comment_after_stmt__t8	p2_comment_after_stmt	no	99
dart	cm_p2_comment_after_stmt__t8	p2_comment_after_stmt	no	99
rust	cm_p2_comment_after_stmt__t8	p2_comment_after_stmt	no	99
go	cm_p2_comment_after_stmt__t8	p2_comment_after_stmt	no	99
swift	cm_p2_comment_after_stmt__t8	p2_comment_after_stmt	no	99
java	cm_p2_comment_after_stmt__t8	p2_comment_after_stmt	no	99
kotlin	cm_p2_comment_after_stmt__t8	p2_comment_after_stmt	no	99
csharp	cm_p2_comment_after_stmt__t8	p2_comment_after_stmt	no	99
c	cm_p2_comment_after_stmt__t8	p2_comment_after_stmt	no	99
cpp	cm_p2_comment_after_stmt__t8	p2_comment_after_stmt	no	99
gdscript	cm_p2_comment_after_stmt__t8	p2_comment_after_stmt	no	99
python_3	cm_p2_comment_after_stmt__t9	p2_comment_after_stmt	no	-1
javascript	cm_p2_comment_after_stmt__t9	p2_comment_after_stmt	no	-1
erlang	cm_p2_comment_after_stmt__t9	p2_comment_after_stmt	no	-1
typescript	cm_p2_comment_after_stmt__t9	p2_comment_after_stmt	no	-1
ruby	cm_p2_comment_after_stmt__t9	p2_comment_after_stmt	no	-1
lua	cm_p2_comment_after_stmt__t9	p2_comment_after_stmt	no	-1
php	cm_p2_comment_after_stmt__t9	p2_comment_after_stmt	no	-1
dart	cm_p2_comment_after_stmt__t9	p2_comment_after_stmt	no	-1
rust	cm_p2_comment_after_stmt__t9	p2_comment_after_stmt	no	-1
go	cm_p2_comment_after_stmt__t9	p2_comment_after_stmt	no	-1
swift	cm_p2_comment_after_stmt__t9	p2_comment_after_stmt	no	-1
java	cm_p2_comment_after_stmt__t9	p2_comment_after_stmt	no	-1
kotlin	cm_p2_comment_after_stmt__t9	p2_comment_after_stmt	no	-1
csharp	cm_p2_comment_after_stmt__t9	p2_comment_after_stmt	no	-1
c	cm_p2_comment_after_stmt__t9	p2_comment_after_stmt	no	-1
cpp	cm_p2_comment_after_stmt__t9	p2_comment_after_stmt	no	-1
gdscript	cm_p2_comment_after_stmt__t9	p2_comment_after_stmt	no	-1
python_3	cm_p3_comment_between_stmts__t0	p3_comment_between_stmts	yes	1
javascript	cm_p3_comment_between_stmts__t0	p3_comment_between_stmts	yes	1
erlang	cm_p3_comment_between_stmts__t0	p3_comment_between_stmts	yes	1
typescript	cm_p3_comment_between_stmts__t0	p3_comment_between_stmts	yes	1
ruby	cm_p3_comment_between_stmts__t0	p3_comment_between_stmts	yes	1
lua	cm_p3_comment_between_stmts__t0	p3_comment_between_stmts	yes	1
php	cm_p3_comment_between_stmts__t0	p3_comment_between_stmts	yes	1
dart	cm_p3_comment_between_stmts__t0	p3_comment_between_stmts	yes	1
rust	cm_p3_comment_between_stmts__t0	p3_comment_between_stmts	yes	1
go	cm_p3_comment_between_stmts__t0	p3_comment_between_stmts	yes	1
swift	cm_p3_comment_between_stmts__t0	p3_comment_between_stmts	yes	1
java	cm_p3_comment_between_stmts__t0	p3_comment_between_stmts	yes	1
kotlin	cm_p3_comment_between_stmts__t0	p3_comment_between_stmts	yes	1
csharp	cm_p3_comment_between_stmts__t0	p3_comment_between_stmts	yes	1
c	cm_p3_comment_between_stmts__t0	p3_comment_between_stmts	yes	1
cpp	cm_p3_comment_between_stmts__t0	p3_comment_between_stmts	yes	1
gdscript	cm_p3_comment_between_stmts__t0	p3_comment_between_stmts	yes	1
python_3	cm_p3_comment_between_stmts__t1	p3_comment_between_stmts	no	5
javascript	cm_p3_comment_between_stmts__t1	p3_comment_between_stmts	no	5
erlang	cm_p3_comment_between_stmts__t1	p3_comment_between_stmts	no	5
typescript	cm_p3_comment_between_stmts__t1	p3_comment_between_stmts	no	5
ruby	cm_p3_comment_between_stmts__t1	p3_comment_between_stmts	no	5
lua	cm_p3_comment_between_stmts__t1	p3_comment_between_stmts	no	5
php	cm_p3_comment_between_stmts__t1	p3_comment_between_stmts	no	5
dart	cm_p3_comment_between_stmts__t1	p3_comment_between_stmts	no	5
rust	cm_p3_comment_between_stmts__t1	p3_comment_between_stmts	no	5
go	cm_p3_comment_between_stmts__t1	p3_comment_between_stmts	no	5
swift	cm_p3_comment_between_stmts__t1	p3_comment_between_stmts	no	5
java	cm_p3_comment_between_stmts__t1	p3_comment_between_stmts	no	5
